state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
PA,17000,53,901000,225000,3.62,3262000,2015
SC,14000,67,938000,38000,4.1,3846000,2015
SD,290000,66,19140000,9379000,1.79,34261000,2015
TN,7000,59,413000,78000,4.04,1669000,2015
TX,126000,66,8316000,1164000,2.1,17464000,2015
UT,27000,42,1134000,147000,1.92,2177000,2015
VT,5000,52,260000,62000,4.23,1100000,2015
VA,6000,38,228000,50000,5.53,1261000,2015
WA,73000,44,3212000,1221000,1.8,5782000,2015
WV,5000,35,175000,32000,4.44,777000,2015
WI,52000,67,3484000,1603000,2.43,8466000,2015
WY,38000,77,2926000,146000,1.9,5559000,2015
AL,7000,52,364000,33000,3.45,1256000,2016
AZ,27000,46,1242000,261000,1.97,2447000,2016
AR,24000,69,1656000,99000,1.85,3064000,2016
CA,310000,36,11160000,2009000,2.04,22766000,2016
CO,32000,40,1280000,282000,2.24,2867000,2016
FL,215000,50,10750000,538000,2.43,26123000,2016
GA,96000,39,3744000,899000,2.69,10071000,2016
HI,16000,113,1808000,127000,2.31,4176000,2016
ID,97000,34,3298000,1253000,1.82,6002000,2016
IL,10000,48,480000,77000,5.42,2602000,2016
IN,7000,62,434000,208000,3.46,1502000,2016
IA,37000,48,1776000,746000,2.08,3694000,2016
KS,7000,48,336000,54000,3.04,1021000,2016
KY,5000,46,230000,48000,4.02,925000,2016
LA,50000,86,4300000,301000,1.94,8342000,2016
ME,12000,34,408000,65000,3.38,1379000,2016
MI,89000,60,5340000,1709000,2.37,12656000,2016
MN,124000,59,7316000,1390000,1.69,12364000,2016
MS,19000,85,1615000,113000,1.73,2794000,2016
MO,8000,62,496000,30000,2.31,1146000,2016
MT,159000,77,12243000,3183000,1.77,21670000,2016
NE,48000,46,2208000,640000,1.91,4217000,2016
NJ,12000,27,324000,198000,7.09,2297000,2016
NY,64000,57,3648000,1167000,3.19,11637000,2016
NC,12000,37,444000,89000,4.78,2122000,2016
ND,485000,78,37830000,6809000,1.85,69986000,2016
OH,15000,79,1185000,664000,3.93,4657000,2016
OR,74000,35,2590000,622000,1.91,4947000,2016
PA,19000,50,950000,266000,3.03,2879000,2016
SC,16000,45,720000,36000,4.57,3290000,2016
SD,280000,71,19880000,12127000,1.76,34989000,2016
TN,6000,55,330000,69000,4.88,1610000,2016
TX,133000,70,9310000,2607000,2.08,19365000,2016
UT,31000,32,992000,169000,1.93,1915000,2016
VT,6000,52,312000,69000,3.64,1136000,2016
VA,5000,38,190000,30000,5.85,1112000,2016
WA,84000,35,2940000,412000,1.99,5851000,2016
WV,5000,32,160000,43000,3.92,627000,2016
WI,54000,62,3348000,1205000,2.67,8939000,2016
WY,40000,68,2720000,190000,1.78,4842000,2016
AL,7000,45,315000,22000,2.77,873000,2017
AZ,22000,40,880000,97000,1.96,1725000,2017
AR,29000,77,2233000,223000,1.91,4265000,2017
CA,335000,41,13735000,2198000,2.09,28706000,2017
CO,33000,43,1419000,284000,2.06,2923000,2017
FL,205000,43,8815000,529000,2.4,21156000,2017
GA,99000,32,3168000,190000,2.96,9377000,2017
HI,12000,131,1572000,16000,1.51,2374000,2017
ID,95000,44,4180000,1045000,1.79,7482000,2017
IL,11000,46,506000,167000,4.76,2409000,2017
IN,7000,48,336000,128000,3.94,1324000,2017
IA,35000,58,2030000,1035000,2.22,4507000,2017
KS,7000,79,553000,260000,4.18,2312000,2017
KY,5000,38,190000,42000,4.08,775000,2017
LA,43000,81,3483000,279000,1.88,6548000,2017
ME,12000,33,396000,51000,5.45,2158000,2017
MI,87000,45,3915000,822000,2.41,9435000,2017
MN,126000,62,7812000,1016000,1.86,14530000,2017
MS,13000,80,1040000,83000,1.81,1882000,2017
MO,8000,65,520000,57000,3.53,1836000,2017
MT,145000,72,10440000,2506000,2.3,24012000,2017
NE,42000,63,2646000,423000,1.99,5266000,2017
NJ,13000,28,364000,167000,7.86,2861000,2017
NY,57000,56,3192000,766000,3.01,9608000,2017
NC,11000,41,451000,99000,4.34,1957000,2017
ND,455000,74,33670000,4377000,1.89,63636000,2017
OH,15000,73,1095000,657000,3.12,3416000,2017
OR,78000,40,3120000,998000,1.89,5897000,2017
PA,16000,46,736000,177000,3.4,2502000,2017
SC,16000,34,544000,27000,3.06,1665000,2017
SD,255000,57,14535000,6541000,1.91,27762000,2017
TN,7000,41,287000,75000,4.68,1343000,2017
TX,120000,66,7920000,2297000,2.11,16711000,2017
UT,27000,31,837000,67000,2.06,1724000,2017
VT,7000,45,315000,120000,4.17,1314000,2017
VA,5000,35,175000,39000,5.73,1003000,2017
WA,77000,45,3465000,1594000,2.25,7796000,2017
WV,6000,40,240000,50000,3.85,924000,2017
WI,53000,56,2968000,683000,2.77,8221000,2017
WY,39000,53,2067000,186000,1.59,3287000,2017
AL,6000,45,270000,14000,3.57,964000,2018
AZ,24000,38,912000,109000,2.82,2572000,2018
AR,28000,50,1400000,84000,1.87,2618000,2018
CA,335000,41,13735000,3022000,2.06,28294000,2018
CO,31000,48,1488000,283000,2.02,3006000,2018
FL,215000,49,10535000,737000,2.4,25284000,2018
GA,98000,34,3332000,200000,2.79,9296000,2018
HI,17000,103,1751000,18000,1.83,3204000,2018
ID,96000,31,2976000,655000,1.96,5833000,2018
IL,11000,41,451000,108000,5.01,2260000,2018
IN,7000,46,322000,106000,3.75,1208000,2018
IA,38000,49,1862000,1005000,2.35,4376000,2018
KS,5000,73,365000,95000,3,1095000,2018
KY,4000,41,164000,34000,5.42,889000,2018
LA,45000,83,3735000,261000,1.9,7097000,2018
ME,12000,32,384000,92000,2.68,1029000,2018
MI,92000,44,4048000,729000,2.37,9594000,2018
MN,119000,61,7259000,1161000,1.88,13647000,2018
MS,20000,87,1740000,70000,2.05,3567000,2018
MO,9000,45,405000,36000,2.58,1045000,2018
MT,160000,92,14720000,3680000,1.92,28262000,2018
NE,40000,59,2360000,850000,1.99,4696000,2018
NJ,13000,31,403000,165000,7.35,2962000,2018
NY,56000,48,2688000,833000,3.34,8978000,2018
NC,10000,33,330000,63000,5.55,1832000,2018
ND,530000,72,38160000,4579000,1.88,71741000,2018
OH,14000,73,1022000,491000,3.61,3689000,2018
OR,93000,35,3255000,1009000,2.22,7226000,2018
PA,19000,44,836000,309000,3.73,3118000,2018
SC,16000,48,768000,15000,3.04,2335000,2018
SD,255000,47,11985000,5154000,1.98,23730000,2018
TN,7000,46,322000,84000,3.99,1285000,2018
TX,132000,56,7392000,1035000,2.06,15228000,2018
UT,26000,41,1066000,75000,2.09,2228000,2018
VT,7000,48,336000,94000,3.66,1230000,2018
VA,4000,40,160000,35000,6.83,1093000,2018
WA,77000,43,3311000,563000,2.11,6986000,2018
WV,6000,37,222000,38000,4.16,924000,2018
WI,51000,45,2295000,711000,2.76,6334000,2018
WY,39000,56,2184000,175000,1.89,4128000,2018
AL,7000,42,294000,44000,3.2,941000,2019
AZ,23000,46,1058000,201000,1.97,2084000,2019
AR,20000,55,1100000,176000,1.53,1683000,2019
CA,335000,48,16080000,3216000,1.56,25085000,2019
CO,32000,46,1472000,500000,2.14,3150000,2019
FL,205000,45,9225000,830000,2.48,22878000,2019
GA,102000,33,3366000,370000,2.61,8785000,2019
HI,16000,80,1280000,51000,1.28,1638000,2019
ID,92000,32,2944000,677000,1.67,4916000,2019
IL,11000,39,429000,116000,4.31,1849000,2019
IN,9000,55,495000,198000,3.95,1955000,2019
IA,38000,55,2090000,1170000,2.24,4682000,2019
KS,7000,79,553000,171000,2.95,1631000,2019
KY,6000,41,246000,44000,4.5,1107000,2019
LA,54000,72,3888000,428000,2.04,7932000,2019
ME,15000,35,525000,110000,2.92,1533000,2019
MI,94000,50,4700000,1363000,2.36,11092000,2019
MN,118000,59,6962000,3063000,1.63,11348000,2019
MS,22000,80,1760000,141000,1.85,3256000,2019
MO,10000,43,430000,73000,3.32,1428000,2019
MT,173000,86,14878000,5802000,1.48,22019000,2019
NE,39000,52,2028000,223000,1.46,2961000,2019
NJ,15000,28,420000,155000,3.33,1399000,2019
NY,59000,58,3422000,1027000,4.49,15365000,2019
NC,14000,42,588000,118000,4.06,2387000,2019
ND,520000,65,33800000,6422000,1.4,47320000,2019
OH,15000,67,1005000,442000,3.42,3437000,2019
OR,87000,32,2784000,1141000,2.07,5763000,2019
PA,19000,50,950000,409000,4.24,4028000,2019
SC,16000,47,752000,45000,5.01,3768000,2019
SD,270000,72,19440000,7582000,1.53,29743000,2019
TN,8000,57,456000,91000,4.65,2120000,2019
TX,126000,60,7560000,1814000,2.3,17388000,2019
UT,22000,29,638000,89000,2.06,1314000,2019
VT,6000,48,288000,84000,4.34,1250000,2019
VA,5000,39,195000,49000,7.51,1464000,2019
WA,81000,35,2835000,1191000,2.12,6010000,2019
WV,6000,37,222000,47000,4.5,999000,2019
WI,46000,47,2162000,692000,2.99,6464000,2019
WY,39000,56,2184000,306000,1.35,2948000,2019
